IMG_PATH,NOME_FOTO,UTM_E,UTM_N,TIPO_HABIT
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020912_0_BC0030VB0082.tif,FT_20240415_020912_0_BC0030VB0082.tif,351374.0,7486180.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_013712_3_BC0030VB0082.tif,FT_20240415_013712_3_BC0030VB0082.tif,351374.0,7486188.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_013712_3_BC0030VB0082.tif,FT_20240415_013712_3_BC0030VB0082.tif,351374.0,7486190.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_010516_0_BC0030VB0082.tif,FT_20240415_010516_0_BC0030VB0082.tif,351374.0,7486194.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020913_3_BC0030VB0082.tif,FT_20240415_020913_3_BC0030VB0082.tif,351376.0,7486178.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020913_0_BC0030VB0082.tif,FT_20240415_020913_0_BC0030VB0082.tif,351376.0,7486180.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020913_0_BC0030VB0082.tif,FT_20240415_020913_0_BC0030VB0082.tif,351376.0,7486182.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_013713_6_BC0030VB0082.tif,FT_20240415_013713_6_BC0030VB0082.tif,351376.0,7486188.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_013713_6_BC0030VB0082.tif,FT_20240415_013713_6_BC0030VB0082.tif,351376.0,7486190.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_010517_3_BC0030VB0082.tif,FT_20240415_010517_3_BC0030VB0082.tif,351376.0,7486194.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_010517_3_BC0030VB0082.tif,FT_20240415_010517_3_BC0030VB0082.tif,351376.0,7486196.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020914_6_BC0030VB0082.tif,FT_20240415_020914_6_BC0030VB0082.tif,351378.0,7486178.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020914_3_BC0030VB0082.tif,FT_20240415_020914_3_BC0030VB0082.tif,351378.0,7486180.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020914_3_BC0030VB0082.tif,FT_20240415_020914_3_BC0030VB0082.tif,351378.0,7486182.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020644_0_BC0030VB0082.tif,FT_20240415_020644_0_BC0030VB0082.tif,351378.0,7486186.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_013715_0_BC0030VB0082.tif,FT_20240415_013715_0_BC0030VB0082.tif,351378.0,7486188.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_013442_6_BC0030VB0082.tif,FT_20240415_013442_6_BC0030VB0082.tif,351378.0,7486190.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_010518_6_BC0030VB0082.tif,FT_20240415_010518_6_BC0030VB0082.tif,351378.0,7486192.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_010518_6_BC0030VB0082.tif,FT_20240415_010518_6_BC0030VB0082.tif,351378.0,7486194.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020915_6_BC0030VB0082.tif,FT_20240415_020915_6_BC0030VB0082.tif,351380.0,7486178.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020915_6_BC0030VB0082.tif,FT_20240415_020915_6_BC0030VB0082.tif,351380.0,7486180.0,Banco de Coral
/mnt/AWS/projeto-ia-submarina/ia-frente-ambiental/NOAA-AUV/ESPADARTE/6000702270/COM20240425/RUN_20240414_0030VB0082/FT_20240415_020915_6_BC0030VB0082.tif,FT_20240415_020915_6_BC0030VB0082.tif,351380.0,7486182.0,Banco de Coral
